OBJECT_ID,B_INFO_BENCHMARKCODE,TRADE_DT,B_INFO_RATE,OPDATE,OPMODE
{39F6C06F-501B-0A43-E063-2001C80AC64F},M1000160(30),20250715,1.4106,2025-07-15,0
{39F6C06F-501C-0A43-E063-2001C80AC64F},M1000160(5),20250715,1.4115,2025-07-15,0
{39F6C06F-501D-0A43-E063-2001C80AC64F},M1000162(3),20250715,1.5320,2025-07-15,0
{39F6C090-3414-0AF8-E063-1F01C80A593E},M1000159(250),20250715,1.4197,2025-07-15,0
{39F6C090-3415-0AF8-E063-1F01C80A593E},M1000166(250),20250715,1.8728,2025-07-15,0
{39F6C090-3416-0AF8-E063-1F01C80A593E},DR007(10),20250715,1.4873,2025-07-15,0
{39F6C091-7E4F-2413-E063-2001C80AB2E8},M1004269(20),20250715,1.7300,2025-07-15,0
{39F6C0D0-184E-0D16-E063-1F01C80A33D8},M1000162(5),20250715,1.5267,2025-07-15,0
{39F6C125-7B2B-241D-E063-2001C80A1860},M1004260(10),20250715,1.4116,2025-07-15,0
{39F6C125-7B2C-241D-E063-2001C80A1860},M1000159(500),20250715,1.7639,2025-07-15,0
{39F6C198-26BE-2474-E063-2001C80AB141},M1000159(20),20250715,1.3723,2025-07-15,0
{39F6C198-26BF-2474-E063-2001C80AB141},M1000159(30),20250715,1.3889,2025-07-15,0
{39F6D0EC-CF45-4A90-E063-2001C80AB492},M1000188(5),20250715,1.6682,2025-07-15,0
{39F6D1A3-607A-35BE-E063-2001C80A4204},M1000160(3),20250715,1.4178,2025-07-15,0
{39F6D1A3-607B-35BE-E063-2001C80A4204},M1000160(10),20250715,1.3974,2025-07-15,0
{39F6D1A3-607C-35BE-E063-2001C80A4204},DR007(60),20250715,1.5912,2025-07-15,0
{39F6D5FE-FA76-390E-E063-2001C80AFB44},M1000164(250),20250715,1.7835,2025-07-15,0
{39F6DCDB-6309-0558-E063-1F01C80A968D},M1000158(250),20250715,1.3913,2025-07-15,0
