F_INFO_WINDCODE,PRICE_DATE,F_NAV_UNIT,F_NAV_ACCUMULATED,F_NAV_ADJUSTED,IS_EXDIVIDENDDATE,F_NAV_DISTRIBUTION
510050.SH,20171010,2.75000000,3.66300000,4.02224996,0,0.3440
510050.SH,20171011,2.76200000,3.67700000,4.03980160,0,0.3440
510050.SH,20171012,2.77300000,3.69000000,4.05589060,0,0.3440
510050.SH,20171013,2.76800000,3.68400000,4.04857742,0,0.3440
510050.SH,20171016,2.78100000,3.70000000,4.06759169,0,0.3440
510050.SH,20171017,2.77800000,3.69600000,4.06320378,0,0.3440
510050.SH,20171018,2.80800000,3.73100000,4.10708287,0,0.3440
510050.SH,20171019,2.81100000,3.73500000,4.11147078,0,0.3440
510050.SH,20171020,2.79200000,3.71300000,4.08368069,0,0.3440
510050.SH,20171023,2.78900000,3.70900000,4.07929278,0,0.3440
510050.SH,20171024,2.80800000,3.73100000,4.10708287,0,0.3440
510050.SH,20171025,2.80700000,3.73000000,4.10562023,0,0.3440
510050.SH,20171026,2.82600000,3.75300000,4.13341033,0,0.3440
510050.SH,20171027,2.87000000,3.80500000,4.19776632,0,0.3440
510050.SH,20171030,2.86500000,3.79900000,4.19045314,0,0.3440
510050.SH,20171031,2.84900000,3.78000000,4.16705096,0,0.3440
510050.SH,20171101,2.84400000,3.77400000,4.15973778,0,0.3440
510050.SH,20171102,2.84900000,3.78000000,4.16705096,0,0.3440
510050.SH,20171103,2.85600000,3.78800000,4.17728942,0,0.3440
510050.SH,20171106,2.84700000,3.77800000,4.16412569,0,0.3440
510050.SH,20171107,2.87700000,3.81300000,4.20800478,0,0.3440
510050.SH,20171108,2.87500000,3.81100000,4.20507951,0,0.3440
510050.SH,20171109,2.88800000,3.82600000,4.22409378,0,0.3440
510050.SH,20171110,2.91800000,3.86200000,4.26797287,0,0.3440
510050.SH,20171113,2.92900000,3.87500000,4.28406187,0,0.3440
510050.SH,20171114,2.91700000,3.86100000,4.26651023,0,0.3440
510050.SH,20171115,2.90500000,3.84600000,4.24895860,0,0.3440
510050.SH,20171116,2.93500000,3.88200000,4.29283769,0,0.3440
510050.SH,20171117,2.99600000,3.95400000,4.38205850,0,0.3440
510050.SH,20171120,2.99800000,3.95600000,4.38498378,0,0.3440
510050.SH,20171121,3.04500000,4.01200000,4.45372769,0,0.3440
510050.SH,20171122,3.07000000,4.04200000,4.49029359,0,0.3440
510050.SH,20171123,2.99700000,3.95500000,4.38352114,0,0.3440
510050.SH,20171124,2.99300000,3.95000000,4.37767060,0,0.3440
510050.SH,20171127,2.97300000,3.92700000,4.34841787,0,0.3440
510050.SH,20171128,2.89900000,3.90300000,4.31862398,1,0.3980
510050.SH,20171129,2.89400000,3.89700000,4.31117551,0,0.3980
510050.SH,20171130,2.86500000,3.86300000,4.26797437,0,0.3980
510050.SH,20171201,2.84300000,3.83700000,4.23520109,0,0.3980
510050.SH,20171204,2.86200000,3.85900000,4.26350529,0,0.3980
510050.SH,20171205,2.91100000,3.91700000,4.33650031,0,0.3980
510050.SH,20171206,2.87500000,3.87500000,4.28287131,0,0.3980
510050.SH,20171207,2.84800000,3.84300000,4.24264957,0,0.3980
510050.SH,20171208,2.86600000,3.86400000,4.26946406,0,0.3980
510050.SH,20171211,2.89900000,3.90300000,4.31862398,0,0.3980
510050.SH,20171212,2.85000000,3.84500000,4.24562895,0,0.3980
510050.SH,20171213,2.87200000,3.87100000,4.27840223,0,0.3980
510050.SH,20171214,2.84900000,3.84400000,4.24413926,0,0.3980
510050.SH,20171215,2.82000000,3.81000000,4.20093812,0,0.3980
510050.SH,20171218,2.82800000,3.81900000,4.21285568,0,0.3980
510050.SH,20171219,2.87200000,3.87100000,4.27840223,0,0.3980
510050.SH,20171220,2.87900000,3.87900000,4.28883009,0,0.3980
