TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_COMMENT
financedata,chinamutualfunddescription,13,F_INFO_MANAGEMENTFEERATIO,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,14,F_INFO_CUSTODIANFEERATIO,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,15,CRNY_CODE,varchar(10),YES,,
financedata,chinamutualfunddescription,16,F_INFO_PTMYEAR,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,17,F_ISSUE_OEF_STARTDATEINST,varchar(8),YES,,
financedata,chinamutualfunddescription,18,F_ISSUE_OEF_DNDDATEINST,varchar(8),YES,,
financedata,chinamutualfunddescription,19,F_INFO_PARVALUE,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,20,F_INFO_TRUSTTYPE,varchar(40),YES,,
financedata,chinamutualfunddescription,21,F_INFO_TRUSTEE,varchar(100),YES,,
financedata,chinamutualfunddescription,22,F_PCHREDM_PCHSTARTDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,23,F_INFO_REDMSTARTDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,24,F_INFO_MINBUYAMOUNT,"decimal(20,6)",YES,,
financedata,chinamutualfunddescription,25,F_INFO_EXPECTEDRATEOFRETURN,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,26,F_INFO_ISSUINGPLACE,varchar(100),YES,,
financedata,chinamutualfunddescription,27,F_INFO_BENCHMARK,varchar(500),YES,,
financedata,chinamutualfunddescription,28,F_INFO_STATUS,"decimal(9,0)",YES,,
financedata,chinamutualfunddescription,29,F_INFO_RESTRICTEDORNOT,varchar(20),YES,,
financedata,chinamutualfunddescription,30,F_INFO_STRUCTUREDORNOT,"decimal(1,0)",YES,,
financedata,chinamutualfunddescription,31,F_INFO_EXCHMARKET,varchar(10),YES,,
financedata,chinamutualfunddescription,32,F_INFO_FIRSTINVESTSTYLE,varchar(20),YES,MUL,
financedata,chinamutualfunddescription,33,F_INFO_ISSUEDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,34,F_INFO_TYPE,varchar(20),YES,,
financedata,chinamutualfunddescription,35,F_INFO_ISINITIAL,"decimal(5,0)",YES,,
financedata,chinamutualfunddescription,36,F_INFO_PINYIN,varchar(40),YES,,
financedata,chinamutualfunddescription,37,F_INFO_INVESTSCOPE,varchar(3000),YES,,
financedata,chinamutualfunddescription,38,F_INFO_INVESTOBJECT,varchar(1000),YES,,
financedata,chinamutualfunddescription,39,F_INFO_INVESTCONCEPTION,varchar(2000),YES,,
financedata,chinamutualfunddescription,40,F_INFO_DECISION_BASIS,varchar(2000),YES,,
financedata,chinamutualfunddescription,41,IS_INDEXFUND,"decimal(5,0)",YES,,
financedata,chinamutualfunddescription,42,F_INFO_DELISTDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,43,F_INFO_CORP_FUNDMANAGEMENTID,varchar(10),YES,,
financedata,chinamutualfunddescription,44,F_INFO_CUSTODIANBANKID,varchar(40),YES,,
financedata,chinamutualfunddescription,45,MAX_NUM_HOLDER,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,46,MAX_NUM_COLTARGET,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,47,INVESTSTRATEGY,longtext,YES,,
financedata,chinamutualfunddescription,48,RISK_RETURN,longtext,YES,,
financedata,chinamutualfunddescription,49,F_PCHREDM_PCHMINAMT,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,50,F_PCHREDM_PCHMINAMT_EX,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,51,F_INFO_LISTDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,52,F_INFO_ANNDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,53,F_CLOSED_OPERATION_PERIOD,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,54,F_CLOSED_OPERATION_INTERVAL,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,55,F_INFO_REGISTRANT,varchar(10),YES,,
financedata,chinamutualfunddescription,56,F_PERSONAL_STARTDATEIND,varchar(8),YES,,
financedata,chinamutualfunddescription,57,F_PERSONAL_ENDDATEIND,varchar(8),YES,,
financedata,chinamutualfunddescription,58,F_INFO_FUND_ID,varchar(100),YES,,
financedata,chinamutualfunddescription,59,F_SALES_SERVICE_RATE,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,60,F_INVESTMENT_AREA,varchar(30),YES,,
financedata,chinamutualfunddescription,61,CLOSE_INSTITU_OEF_DOWN,"decimal(20,6)",YES,,
financedata,chinamutualfunddescription,62,CLOSE_INSTITU_OEF_UP,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,63,S_FELLOW_DISTOR,"decimal(20,4)",YES,,
financedata,chinamutualfunddescription,64,F_PERSONAL_SUBTYPE,varchar(100),YES,,
financedata,chinamutualfunddescription,65,CLOSE_INSTITU_SUBTYPE,varchar(100),YES,,
financedata,chinamutualfunddescription,66,F_INVESTMENT_AREA_DESC,varchar(1000),YES,,
financedata,chinamutualfunddescription,67,CUSTODY_ENDDATE,varchar(8),YES,,
financedata,chinamutualfunddescription,68,FORINS_CUSTODIAN,varchar(200),YES,,
financedata,chinamutualfunddescription,69,LISTEDFUNDORNOT,"decimal(1,0)",YES,,
financedata,chinamutualfunddescription,70,SEC_ID,varchar(10),YES,,
financedata,chinamutualfunddescription,71,OPDATE,date,YES,MUL,
financedata,chinamutualfunddescription,72,OPMODE,varchar(1),YES,,
financedata,chinaoptioncalendar,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptioncalendar,2,TRADE_DAYS,varchar(40),YES,,
financedata,chinaoptioncalendar,3,S_INFO_EXCHMARKET,varchar(40),YES,,
financedata,chinaoptioncalendar,4,OPDATE,date,YES,MUL,
financedata,chinaoptioncalendar,5,OPMODE,varchar(1),YES,,
financedata,chinaoptioncontpro,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptioncontpro,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaoptioncontpro,3,S_INFO_CODE,varchar(20),YES,,
financedata,chinaoptioncontpro,4,S_INFO_NAME,varchar(40),YES,MUL,
financedata,chinaoptioncontpro,5,S_INFO_ENAME,varchar(100),YES,,
financedata,chinaoptioncontpro,6,S_INFO_EXNAME,varchar(20),YES,,
financedata,chinaoptioncontpro,7,S_INFO_TYPE,varchar(20),YES,,
financedata,chinaoptioncontpro,8,S_INFO_EUROAMERICANBERMUDA,varchar(10),YES,,
financedata,chinaoptioncontpro,9,S_INFO_SETTLEMENTMETHOD,varchar(10),YES,,
financedata,chinaoptioncontpro,10,S_INFO_LISTEDDATE,varchar(8),YES,,
financedata,chinaoptioncontpro,11,S_INFO_DELISTDATE,varchar(8),YES,,
financedata,chinaoptioncontpro,12,S_INFO_STRIKERATIO,"decimal(20,4)",YES,,
financedata,chinaoptioncontpro,13,S_INFO_CEVALUE,"decimal(20,4)",YES,,
financedata,chinaoptioncontpro,14,S_INFO_COVALUE,varchar(80),YES,,
financedata,chinaoptioncontpro,15,S_INFO_LSMONTH,varchar(200),YES,,
financedata,chinaoptioncontpro,16,S_INFO_MINPRICEFLUCT,varchar(40),YES,,
financedata,chinaoptioncontpro,17,S_INFO_THOURS,varchar(200),YES,,
financedata,chinaoptioncontpro,18,S_INFO_LASTTRADINGDATE,varchar(200),YES,,
financedata,chinaoptioncontpro,19,S_INFO_LSDATE,varchar(200),YES,,
financedata,chinaoptioncontpro,20,S_INFO_LASTSETTLE,varchar(200),YES,,
financedata,chinaoptioncontpro,21,S_INFO_TRADEFEE,varchar(200),YES,,
financedata,chinaoptioncontpro,22,S_INFO_POSLIMIT,varchar(800),YES,,
financedata,chinaoptioncontpro,23,S_INFO_MINPOSLIMIT,varchar(800),YES,,
financedata,chinaoptioncontpro,24,S_INFO_OPTIONPRICE,varchar(20),YES,,
financedata,chinaoptioncontpro,25,S_INFO_EXERCISINGEND,varchar(80),YES,,
financedata,chinaoptioncontpro,26,S_INFO_STRIKEPRICE,varchar(800),YES,,
financedata,chinaoptioncontpro,27,S_INFO_SIMULATION,varchar(1),YES,,
financedata,chinaoptioncontpro,28,S_INFO_QUOTEUNIT,varchar(40),YES,,
financedata,chinaoptioncontpro,29,S_INFO_COUNIT,"decimal(20,4)",YES,,
financedata,chinaoptioncontpro,30,S_INFO_COUNITDIMENSION,varchar(40),YES,,
financedata,chinaoptioncontpro,31,S_INFO_ID,varchar(40),YES,,
financedata,chinaoptioncontpro,32,OPDATE,date,YES,MUL,
financedata,chinaoptioncontpro,33,OPMODE,varchar(1),YES,,
financedata,chinaoptioncontpro,34,CHANGE_LIMIT,varchar(800),YES,,
financedata,chinaoptioncontpro,35,EXER_METHODCODE,"decimal(9,0)",YES,,
financedata,chinaoptioncontpro,36,S_INFO_UDLSECID,varchar(40),YES,,
financedata,chinaoptioncontpro,37,CONTRACT_TYPE,varchar(200),YES,,
financedata,chinaoptioncontpro,38,S_INFO_TYPECODE,"decimal(9,0)",YES,,
financedata,chinaoptioncontpro,39,SETTLEMENTMETHODCODE,"decimal(9,0)",YES,,
financedata,chinaoptioncontpro,40,TRADECODE_RULE,varchar(800),YES,,
financedata,chinaoptiondescription,1,OBJECT_ID,varchar(100),NO,PRI,
financedata,chinaoptiondescription,2,S_INFO_WINDCODE,varchar(40),YES,MUL,
financedata,chinaoptiondescription,3,S_INFO_CODE,varchar(40),YES,,
financedata,chinaoptiondescription,4,S_INFO_NAME,varchar(100),YES,MUL,
financedata,chinaoptiondescription,5,S_INFO_SCCODE,varchar(50),YES,,
financedata,chinaoptiondescription,6,S_INFO_CALLPUT,"decimal(9,0)",YES,,
financedata,chinaoptiondescription,7,S_INFO_STRIKEPRICE,"decimal(20,4)",YES,,
financedata,chinaoptiondescription,8,S_INFO_MONTH,varchar(6),YES,,
financedata,chinaoptiondescription,9,S_INFO_MATURITYDATE,varchar(8),YES,,
financedata,chinaoptiondescription,10,S_INFO_FTDATE,varchar(8),YES,,
financedata,chinaoptiondescription,11,S_INFO_LASTTRADINGDATE,varchar(8),YES,,
financedata,chinaoptiondescription,12,S_INFO_EXERCISINGEND,varchar(8),YES,,
